[Data]
X [ m ] (X Coordinate), Y [ m ] (Y Coordinate), Z [ m ] (Z Coordinate), Absolute Pressure [ Pa ], Force X [ N ], Force Y [ N ], Force Z [ N ]
-3.17499973e-003, -1.42965376e-001, 7.84301519e-001, 9.36475938e+004, -1.69489942e-002, -1.57311875e-002, 1.12624979e-002
-3.17499973e-003, -1.42818555e-001, 7.80364215e-001, 8.14981719e+004, -1.05637170e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -9.35341269e-002, 6.00231588e-001, 9.15331172e+004, 8.31724778e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -9.67176408e-002, 6.04264498e-001, 9.18147500e+004, 7.35056624e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -9.17607993e-002, 6.05097830e-001, 9.18686172e+004, 8.73651281e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -9.52485502e-002, 5.94747663e-001, 9.11675234e+004, 1.34415239e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -9.83903036e-002, 5.99748850e-001, 9.15251250e+004, 7.94643685e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 6.57398462e-001, 9.35184609e+004, -2.11222563e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 6.62523508e-001, 9.33917500e+004, -9.90024302e-003, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.10956880e-002, 6.60009325e-001, 9.34809219e+004, -3.00944895e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.06249157e-002, 6.63298726e-001, 9.33661563e+004, -1.75986011e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.44590515e-002, 6.62311614e-001, 9.34594766e+004, -3.53331827e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.92341596e-001, 5.92212200e-001, 9.09933359e+004, 1.20543189e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.94466710e-001, 5.88069677e-001, 9.00608906e+004, 1.46279871e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.98443860e-001, 5.91163158e-001, 9.03047813e+004, 1.43963516e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.87410980e-001, 5.88061929e-001, 9.05160703e+004, 1.43467128e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.90281212e-001, 5.83184600e-001, 8.74911172e+004, 1.85196042e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.20200002e-001, 6.49607003e-001, 9.08364297e+004, -4.08093557e-002, -4.15217839e-002, 0.00000000e+000
-3.17499973e-003, -2.16371953e-001, 6.51560485e-001, 9.10203594e+004, -8.68103206e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.20200002e-001, 6.52640283e-001, 9.06159453e+004, -2.44195163e-002, -1.78387072e-002, 0.00000000e+000
-3.17499973e-003, -2.14912385e-001, 6.46436989e-001, 9.11334531e+004, -1.32395953e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.20200002e-001, 6.45700037e-001, 9.12579219e+004, -3.28880697e-002, -5.03783375e-002, 0.00000000e+000
-3.17499973e-003, -2.17446208e-001, 6.42816186e-001, 9.15320000e+004, -4.91639562e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.15457827e-001, 6.58096910e-001, 8.99317969e+004, -8.67614746e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.17052400e-001, 6.60819769e-001, 9.04821797e+004, -6.78287819e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.20200002e-001, 6.58166647e-001, 9.02562891e+004, -3.63972150e-002, -1.36897005e-002, 0.00000000e+000
-3.17499973e-003, -2.09770381e-001, 6.58390999e-001, 8.90145859e+004, -1.35930479e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.13008583e-001, 6.62197053e-001, 8.90137734e+004, -1.23145178e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -2.02660680e-001, 6.38561547e-001, 9.02657500e+004, 9.20776948e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -2.06027657e-001, 6.35108054e-001, 9.03342109e+004, 1.11011609e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -2.07268000e-001, 6.39656544e-001, 9.01192344e+004, 1.06038868e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -2.01403141e-001, 6.34385407e-001, 9.02096719e+004, 9.69771668e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -2.04506487e-001, 6.29753709e-001, 9.04652656e+004, 1.51807234e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.08826989e-001, 6.30346894e-001, 9.08311250e+004, -9.57570821e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.12224931e-001, 6.32494986e-001, 9.05902578e+004, -5.07948510e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.14607388e-001, 6.29284024e-001, 9.10235703e+004, -1.31444842e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.09960461e-001, 6.35879278e-001, 9.04783984e+004, -1.53487071e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.15484589e-001, 6.34793997e-001, 9.09970234e+004, -1.10418364e-001, 0.00000000e+000, 0.00000000e+000
2.62320042e-004, -8.75209197e-002, 8.61745477e-001, 1.18071617e+005, 9.81383778e-007, 1.91383153e-001, -1.37016222e-001
-3.17499973e-003, -8.97065550e-002, 8.58692646e-001, 1.00877688e+005, 2.70654224e-002, 6.26349524e-002, -4.48419377e-002
-3.17499973e-003, -8.75760764e-002, 8.61668468e-001, 9.97373203e+004, 3.04209739e-002, 1.84735246e-002, -1.32258208e-002
3.17499973e-003, -8.64857435e-002, 8.63191426e-001, 1.01280508e+005, -2.46801060e-002, 2.33092792e-002, -1.66879110e-002
3.17499973e-003, -8.90497342e-002, 8.59610081e-001, 9.75193594e+004, -1.91137996e-002, 1.73747521e-002, -1.24390675e-002
3.17499973e-003, -8.65018889e-002, 7.56444693e-001, 9.44589688e+004, 1.85642876e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.94511566e-002, 7.59901047e-001, 9.44108281e+004, 1.87764503e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.51456523e-002, 7.61303067e-001, 9.44777891e+004, 1.85527466e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -9.14278775e-002, 7.54884422e-001, 9.44922734e+004, 2.66123079e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.67185295e-002, 7.51074016e-001, 9.45022813e+004, 1.81722473e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -1.57160640e-001, 7.54332125e-001, 8.69507344e+004, -1.98629186e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -1.62271559e-001, 7.57334888e-001, 9.79262109e+004, 3.52539010e-002, 2.29555890e-002, -1.64346285e-002
-3.17499973e-003, -1.61515847e-001, 7.52380490e-001, 8.14831875e+004, -2.62190938e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -1.52180061e-001, 7.56740630e-001, 8.76236953e+004, -1.82832643e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -1.56171560e-001, 7.58838832e-001, 8.12221406e+004, -2.83244133e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.61458716e-001, 7.45582461e-001, 8.79685703e+004, 1.54855624e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.56785786e-001, 7.43711710e-001, 8.78458516e+004, 1.53640911e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.62194222e-001, 7.41097808e-001, 8.77812266e+004, 1.74060911e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.66491985e-001, 7.43767858e-001, 8.51809688e+004, 2.13312253e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.65004909e-001, 7.47862279e-001, 8.41967813e+004, 1.55905187e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.16868395e-002, 6.09178960e-001, 9.20813281e+004, 5.94359860e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.11077505e-002, 6.05343640e-001, 9.18024453e+004, 4.61442433e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.57109129e-002, 6.05638385e-001, 9.18798125e+004, 1.03154466e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 6.12044632e-001, 9.22710859e+004, 2.61881258e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 6.06459141e-001, 9.19593359e+004, 2.52900999e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -2.17274159e-001, 5.95059574e-001, 9.16245547e+004, 4.26675752e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -2.20200002e-001, 5.98001301e-001, 9.11404922e+004, 3.20103057e-002, -2.97033675e-002, 0.00000000e+000
3.17499973e-003, -2.16190368e-001, 5.99057317e-001, 9.11927344e+004, 8.67286474e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.15451598e-001, 5.93361259e-001, 9.12811719e+004, -7.15496093e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.16690153e-001, 5.90304136e-001, 9.20607422e+004, -5.17266318e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.12390959e-001, 5.89605272e-001, 9.08633125e+004, -8.88048559e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.09687769e-001, 5.93789697e-001, 9.03298359e+004, -1.20101519e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -2.12501228e-001, 5.97628236e-001, 9.08780625e+004, -9.18999910e-002, 0.00000000e+000, 0.00000000e+000
9.93460417e-005, -1.41402721e-001, 5.74891806e-001, 6.00752461e+004, -2.80322695e-007, -3.85943390e-002, -4.65807259e-001
3.17499973e-003, -1.38237253e-001, 5.74629486e-001, 7.21436875e+004, 2.45536029e-001, -3.45214121e-002, -4.16596591e-001
-3.17499973e-003, -1.38238952e-001, 5.74629605e-001, 7.45295313e+004, -2.69479394e-001, -2.28939299e-002, -2.76285470e-001
3.17499973e-003, -1.41403958e-001, 5.74891865e-001, 7.05094063e+004, 1.89173773e-001, -6.51138183e-003, -7.85905719e-002
2.40257010e-004, -1.19806573e-001, 5.73102236e-001, 6.23090117e+004, 1.54702221e-007, -4.03294824e-002, -4.86726046e-001
-3.17499973e-003, -1.23208664e-001, 5.73384106e-001, 7.34406797e+004, -1.19288176e-001, -1.04307029e-002, -1.25869125e-001
-8.81869346e-005, -1.24524221e-001, 5.73493123e-001, 6.78857969e+004, 5.14712326e-007, -3.19114029e-002, -3.85090202e-001
3.17499973e-003, -1.21723227e-001, 5.73261023e-001, 7.12224844e+004, 2.43547752e-001, -1.61247272e-002, -1.94596156e-001
-3.17499973e-003, -1.19805619e-001, 5.73102117e-001, 7.21027188e+004, -1.57338023e-001, -7.45005347e-003, -8.99020508e-002
3.17499973e-003, -1.27561778e-001, 5.73744833e-001, 7.28179531e+004, 1.70010313e-001, -1.47901112e-002, -1.78477526e-001
-3.17499973e-003, -1.25773206e-001, 5.73596656e-001, 7.37803359e+004, -8.83023515e-002, -9.38716531e-003, -1.13283314e-001
-1.20773911e-004, -1.57486051e-001, 7.64019251e-001, 1.16900297e+005, -8.71359092e-008, 2.79375434e-001, -2.00009957e-001
3.17499973e-003, -1.59214258e-001, 7.61605322e-001, 9.56794063e+004, -3.89493606e-003, 3.63267353e-003, -2.60076625e-003
-3.17499973e-003, -1.59492299e-001, 7.61216938e-001, 1.00727672e+005, 3.05348728e-002, 6.79437667e-002, -4.86432053e-002
-3.17499973e-003, -1.57451898e-001, 7.64066935e-001, 9.76182969e+004, 1.79131720e-002, 6.26087328e-003, -4.48228093e-003
-8.17980617e-005, -1.54368252e-001, 7.68374145e-001, 1.15465023e+005, -2.80691694e-007, 2.53963083e-001, -1.81819305e-001
-3.17499973e-003, -1.55677617e-001, 7.66545236e-001, 9.88910859e+004, 2.74298452e-002, 2.06165984e-002, -1.47601748e-002
3.17499973e-003, -1.55497074e-001, 7.66797423e-001, 9.71865703e+004, -2.08261628e-002, 1.47678358e-002, -1.05728265e-002
1.94210559e-004, -1.97843909e-001, 7.07647979e-001, 1.13437695e+005, 1.11171619e-006, 2.37228647e-001, -1.69838801e-001
3.17499973e-003, -1.99845254e-001, 7.04852521e-001, 9.78496250e+004, -5.27555682e-002, 2.84416080e-002, -2.03621630e-002
-3.17499973e-003, -2.00062841e-001, 7.04548597e-001, 9.55252813e+004, 3.81403347e-003, 2.17707572e-003, -1.55861897e-003
-2.31508166e-005, -1.94877148e-001, 7.11791933e-001, 1.10487086e+005, 9.05152376e-007, 1.83937073e-001, -1.31685942e-001
3.17499973e-003, -1.96628034e-001, 7.09346294e-001, 9.44321563e+004, 9.13685840e-003, -6.03209389e-003, 4.31856560e-003
-3.17499973e-003, -1.97818220e-001, 7.07683861e-001, 9.41803594e+004, -4.66140173e-003, -3.84613872e-003, 2.75356695e-003
-3.17499973e-003, -1.95721954e-001, 7.10611880e-001, 9.67204688e+004, 2.11416967e-002, 8.14980548e-003, -5.83465165e-003
-1.90781429e-004, -1.03336349e-001, 8.39654744e-001, 1.15866875e+005, 1.03560353e-006, 2.68807381e-001, -1.92448705e-001
3.17499973e-003, -1.01346776e-001, 8.42433751e-001, 9.71574297e+004, -2.82096397e-002, 1.13314260e-002, -8.11261032e-003
3.17499973e-003, -1.03305459e-001, 8.39697897e-001, 9.26365703e+004, 9.32864193e-003, -8.30748957e-003, 5.94756193e-003
3.17499973e-003, -1.05312616e-001, 8.36894333e-001, 9.18889844e+004, 3.89073715e-002, -3.32289003e-002, 2.37893704e-002
-3.17499973e-003, -1.03440002e-001, 8.39509964e-001, 9.23416484e+004, -9.05223005e-003, -7.28459517e-003, 5.21527976e-003
-3.17499973e-003, -1.01574354e-001, 8.42115879e-001, 9.79033828e+004, 4.25141715e-002, 1.58373695e-002, -1.13383625e-002
3.59918922e-005, -1.00111842e-001, 8.44158649e-001, 1.13932203e+005, -2.41481644e-006, 2.47267738e-001, -1.77024111e-001
-3.17499973e-003, -1.05106838e-001, 8.37181747e-001, 9.16602969e+004, -3.59253250e-002, -3.26276608e-002, 2.33589746e-002
1.91938132e-004, -1.80779263e-001, 7.31483638e-001, 1.15395242e+005, -1.43456339e-006, 2.46162578e-001, -1.76233962e-001
4.17238101e-004, -1.77968025e-001, 7.35410273e-001, 1.15644047e+005, 2.11140718e-006, 2.56892055e-001, -1.83917999e-001
3.17499973e-003, -1.78973734e-001, 7.34005570e-001, 1.00702523e+005, -6.68230578e-002, 3.30210179e-002, -2.36404780e-002
-3.17499973e-003, -1.80090129e-001, 7.32446194e-001, 9.91115078e+004, 8.18024650e-002, 3.22964303e-002, -2.31221151e-002
-3.17499973e-003, -1.75823569e-001, 7.38405645e-001, 9.35501953e+004, -2.53609233e-002, -1.89025514e-002, 1.35328686e-002
3.17499973e-003, -1.75975069e-001, 7.38194048e-001, 9.39439922e+004, 1.87251773e-002, -1.24430247e-002, 8.90823733e-003
3.17499973e-003, -1.32308781e-001, 7.99186468e-001, 9.12325859e+004, 4.25510667e-002, -3.52713726e-002, 2.52518468e-002
-3.17499973e-003, -1.33468673e-001, 7.97566354e-001, 1.00632180e+005, 6.08129762e-002, 7.44064972e-002, -5.32696694e-002
-3.17499973e-003, -1.25267014e-001, 8.09022307e-001, 9.54064375e+004, 1.47178012e-003, 5.58382366e-004, -3.99759854e-004
-1.73196197e-004, -1.26019880e-001, 8.07970703e-001, 1.13699773e+005, -3.00795904e-007, 1.93403512e-001, -1.38462543e-001
-3.17499973e-003, -1.24850430e-001, 8.04395795e-001, 7.79457266e+004, -2.35096201e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -1.27628326e-001, 8.05724084e-001, 9.34747109e+004, 5.84713975e-003, -8.73192213e-003, 6.25139661e-003
3.17499973e-003, -1.25254348e-001, 8.09040010e-001, 9.40986875e+004, 2.09776331e-002, -8.64722487e-003, 6.19081082e-003
3.17499973e-003, -1.25261754e-001, 8.04235578e-001, 7.68025703e+004, 2.22029775e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 5.78107119e-001, 8.87496641e+004, 7.39617646e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.21960196e-002, 5.74823737e-001, 8.69856328e+004, 2.09643260e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.22769850e-002, 5.81228793e-001, 8.94497656e+004, 1.29803330e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 5.73173463e-001, 8.63403984e+004, 7.11775869e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 5.83259463e-001, 8.97790469e+004, 5.00778779e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 5.88460684e-001, 9.05110547e+004, 5.48946559e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.14665481e-002, 5.85407615e-001, 9.01323672e+004, 8.48837718e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.35670978e-002, 5.90968609e-001, 9.07663438e+004, 1.41470671e-001, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 5.93315840e-001, 9.09624453e+004, 4.27200943e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 5.77615917e-001, 8.81668438e+004, -6.96322247e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.23437423e-002, 5.79196453e-001, 8.86601563e+004, -1.57577276e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.19785073e-002, 5.74217975e-001, 8.66612656e+004, -1.70039043e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 5.82349777e-001, 8.92978984e+004, -7.85140768e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 5.72881639e-001, 8.60440234e+004, -6.95757791e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 5.88657379e-001, 9.01662969e+004, -6.49754778e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.18111598e-002, 5.90855539e-001, 9.04053281e+004, -1.06513552e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.30145776e-002, 5.85266590e-001, 8.98917422e+004, -1.71812713e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 5.94596207e-001, 9.09747266e+004, -4.94584255e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 5.69649160e-001, 8.11813516e+004, -2.58545335e-002, -2.41093663e-003, -2.90919263e-002
-3.17499973e-003, -8.15320760e-002, 5.69930613e-001, 7.72491484e+004, -1.36174500e-001, -9.86312330e-003, -1.19030647e-001
4.62343916e-004, -7.81982094e-002, 5.69654346e-001, 7.44151250e+004, -3.46948866e-007, -1.23444572e-002, -1.48961559e-001
3.17499973e-003, -7.81355202e-002, 5.69649160e-001, 7.95386094e+004, 2.54080612e-002, -1.62096706e-003, -1.95560493e-002
3.17499973e-003, -8.08781534e-002, 5.69876432e-001, 7.61583203e+004, 1.47697940e-001, -7.75922323e-003, -9.36307609e-002
-3.17499973e-003, -2.06313461e-001, 6.95817828e-001, 9.91820391e+004, 2.17758864e-002, 2.25464310e-002, -1.61412675e-002
1.77122653e-004, -2.07016826e-001, 6.94835365e-001, 1.13216000e+005, 1.70564249e-006, 1.87379137e-001, -1.34151682e-001
3.17499973e-003, -2.07895547e-001, 6.93607986e-001, 9.59217266e+004, -4.97955084e-003, 3.01184994e-003, -2.15628045e-003
3.22163105e-005, -2.09379673e-001, 6.91534996e-001, 1.12924602e+005, -6.79364518e-007, 1.96372777e-001, -1.40587792e-001
-3.17499973e-003, -2.08591312e-001, 6.92636132e-001, 9.79515000e+004, 2.45261993e-002, 1.45953288e-002, -1.04493732e-002
2.69483775e-004, -1.50380105e-001, 7.73944736e-001, 1.15650453e+005, 9.39718518e-007, 2.55274951e-001, -1.82757452e-001
3.17499973e-003, -1.48825824e-001, 7.76115716e-001, 9.46289063e+004, 9.11979843e-003, -3.95471044e-003, 2.83131609e-003
3.17499973e-003, -1.50392041e-001, 7.73928046e-001, 8.98649766e+004, 1.15050040e-002, -1.17283324e-002, 8.39677826e-003
-3.17499973e-003, -1.50543272e-001, 7.73716807e-001, 9.26689766e+004, -8.12916178e-003, -7.82556180e-003, 5.60259074e-003
-3.17499973e-003, -1.48840591e-001, 7.76095092e-001, 9.62642813e+004, 1.24252848e-002, 5.78769995e-003, -4.14353702e-003
0.00000000e+000, -1.47223249e-001, 7.78354168e-001, 1.12391383e+005, -3.36681836e-007, 2.20815584e-001, -1.58088923e-001
3.17499973e-003, -1.52010322e-001, 7.71667659e-001, 9.07378672e+004, 5.18776849e-002, -4.38498594e-002, 3.13935354e-002
-3.17499973e-003, -1.52535826e-001, 7.70933628e-001, 9.27584609e+004, -2.74923164e-002, -2.47821659e-002, 1.77423675e-002
-3.17499973e-003, -7.81355202e-002, 7.02314794e-001, 9.40428359e+004, -1.21800341e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.13244730e-002, 7.05661952e-001, 9.41016641e+004, -1.90970153e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.17067027e-002, 7.00204909e-001, 9.39776484e+004, -2.44108308e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 7.07790196e-001, 9.41178906e+004, -7.05714617e-003, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 6.96286082e-001, 9.39408828e+004, -1.18987886e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.02323258e-001, 9.40456250e+004, 9.92365833e-003, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.14975128e-002, 7.00144470e-001, 9.40720625e+004, 1.89217795e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.11072141e-002, 7.04039395e-001, 9.40758594e+004, 1.48779238e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.07678616e-001, 9.40324297e+004, 9.48877446e-003, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 6.96691632e-001, 9.38986172e+004, 1.19204083e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.10885584e-001, 9.39900703e+004, 1.14852153e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.21554884e-002, 7.08058059e-001, 9.40715156e+004, 2.19252743e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.28428194e-002, 7.13497281e-001, 9.41985000e+004, 2.89545935e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.14179873e-001, 9.40544141e+004, 1.34766605e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.20307529e-001, 9.41431016e+004, 9.31177940e-003, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.20640922e-002, 7.18882859e-001, 9.41612500e+004, 2.20214855e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.06161389e-002, 7.22656310e-001, 9.42350156e+004, 1.07831592e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.24759996e-001, 9.44079922e+004, 5.77283883e-003, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 7.11027741e-001, 9.41242109e+004, -5.89174964e-003, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.06275085e-002, 7.09259987e-001, 9.41467500e+004, -9.86931380e-003, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.17079544e-002, 7.12339103e-001, 9.41701953e+004, -1.77870020e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 7.14431942e-001, 9.41807891e+004, -1.04483701e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 7.20055640e-001, 9.42967266e+004, -1.11702560e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -7.81355202e-002, 7.25385070e-001, 9.41773984e+004, -9.57538188e-003, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.18101615e-002, 7.23637462e-001, 9.42510781e+004, -2.15335563e-002, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -8.22474435e-002, 7.17686176e-001, 9.43421484e+004, -2.76860055e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.29373813e-001, 9.43711875e+004, 8.15600622e-003, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.15370381e-002, 7.26576269e-001, 9.44286953e+004, 1.29979216e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -8.22150856e-002, 7.31194735e-001, 9.43581484e+004, 1.98487714e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.33988106e-001, 9.42303359e+004, 1.19224051e-002, 0.00000000e+000, 0.00000000e+000
3.17499973e-003, -7.81355202e-002, 7.39043295e-001, 9.42004922e+004, 1.53967282e-002, 0.00000000e+000, 0.00000000e+000
